Iteration,UserId,Score,Delta
1,ABSCBNNews,0.15794424501224846,0.11032519739320085
1,inquirerdotnet,0.15320593465911475,0.10558688704006713
1,PinoyAkoBlog,0.15090570576224338,0.10328665814319576
1,shiori_p0n,0.15481570164646502,0.1071966540274174
1,philstarlife,0.15716428323056342,0.1095452356115158
1,ASantos12172000,0.1512173197244856,0.10359827210543798
1,AFP,0.15000000000000002,0.1023809523809524
1,unSauLicited,0.15000000000000002,0.1023809523809524
1,JervisManahan,0.15000000000000002,0.1023809523809524
1,Mang_INASAR,0.15000000000000002,0.1023809523809524
1,Beatrice_Cuadra,0.15000000000000002,0.1023809523809524
1,alvinelchico,0.15000000000000002,0.1023809523809524
1,GemoraAudie,0.15000000000000002,0.1023809523809524
1,la0925,0.15000000000000002,0.1023809523809524
1,BoyNextDoor0690,0.15000000000000002,0.1023809523809524
1,JohnsonManabat,0.15000000000000002,0.1023809523809524
1,jeffcaparas,0.15000000000000002,0.1023809523809524
1,tj_canino,0.15000000000000002,0.1023809523809524
1,sheergrace,0.15000000000000002,0.1023809523809524
1,joannaglibotINQ,0.15000000000000002,0.1023809523809524
1,saikenMD,0.15000000000000002,0.1023809523809524
2,ABSCBNNews,0.17525511163762902,0.01731086662538056
2,inquirerdotnet,0.16019900389260333,0.00699306923348858
2,PinoyAkoBlog,0.1528837581539594,0.0019780523917160286
2,shiori_p0n,0.16529422015106196,0.01047851850459694
2,philstarlife,0.1727775510150755,0.01561326778451208
2,ASantos12172000,0.15394458571364583,0.0027272659891602324
2,AFP,0.15000000000000002,0
2,unSauLicited,0.15000000000000002,0
2,JervisManahan,0.15000000000000002,0
2,Mang_INASAR,0.15000000000000002,0
2,Beatrice_Cuadra,0.15000000000000002,0
2,alvinelchico,0.15000000000000002,0
2,GemoraAudie,0.15000000000000002,0
2,la0925,0.15000000000000002,0
2,BoyNextDoor0690,0.15000000000000002,0
2,JohnsonManabat,0.15000000000000002,0
2,jeffcaparas,0.15000000000000002,0
2,tj_canino,0.15000000000000002,0
2,sheergrace,0.15000000000000002,0
2,joannaglibotINQ,0.15000000000000002,0
2,saikenMD,0.15000000000000002,0
3,ABSCBNNews,0.1757694673761111,0.0005143557384820752
3,inquirerdotnet,0.16042218573870273,0.00022318184609940173
3,PinoyAkoBlog,0.15295207822466178,0.00006832007070237123
3,shiori_p0n,0.1655735493057638,0.0002793291547018295
3,philstarlife,0.1732458210139941,0.0004682699989186079
3,ASantos12172000,0.1541841256282583,0.00023953991461247992
3,AFP,0.15000000000000002,0
3,unSauLicited,0.15000000000000002,0
3,JervisManahan,0.15000000000000002,0
3,Mang_INASAR,0.15000000000000002,0
3,Beatrice_Cuadra,0.15000000000000002,0
3,alvinelchico,0.15000000000000002,0
3,GemoraAudie,0.15000000000000002,0
3,la0925,0.15000000000000002,0
3,BoyNextDoor0690,0.15000000000000002,0
3,JohnsonManabat,0.15000000000000002,0
3,jeffcaparas,0.15000000000000002,0
3,tj_canino,0.15000000000000002,0
3,sheergrace,0.15000000000000002,0
3,joannaglibotINQ,0.15000000000000002,0
3,saikenMD,0.15000000000000002,0
