Iteration,UserId,Score,Delta
1,Tesla,0.1577448699269796,0.08631629849840816
1,QTHESTORMM,0.16770181185839803,0.0962732404298266
1,teslacarsonly,0.16083727198942735,0.08940870056085592
1,IloveTrumpMK,0.15271531962044935,0.08128674819187792
1,LamarMK,0.15249301648020167,0.08106444505163024
1,bored_manus,0.15004311421413916,0.07861454278556773
1,JohnNolancq97,0.15004089359601902,0.0786123221674476
1,9cc8bc5e21cf4b8,0.1500341161464495,0.07860554471787806
1,cybertruck,0.15000000000000002,0.0785714285714286
1,Tesla_AI,0.15000000000000002,0.0785714285714286
1,RepLuna,0.15000000000000002,0.0785714285714286
1,aelluswamy,0.15000000000000002,0.0785714285714286
1,elonmusk,0.15000000000000002,0.0785714285714286
1,tesla_na,0.15000000000000002,0.0785714285714286
2,Tesla,0.16769527205578522,0.00995040212880563
2,QTHESTORMM,0.189113076759703,0.02141126490130499
2,teslacarsonly,0.17412388667662232,0.01328661468719497
2,IloveTrumpMK,0.15602564974347605,0.0033103301230267
2,LamarMK,0.15551605178914893,0.003023035308947264
2,bored_manus,0.15009409328169743,0.000050979067558271085
2,JohnNolancq97,0.150089178280748,0.00004828468472897751
2,9cc8bc5e21cf4b8,0.15007469944047547,0.00004058329402598093
2,cybertruck,0.15000000000000002,0
2,Tesla_AI,0.15000000000000002,0
2,RepLuna,0.15000000000000002,0
2,aelluswamy,0.15000000000000002,0
2,elonmusk,0.15000000000000002,0
2,tesla_na,0.15000000000000002,0
3,Tesla,0.16943150154304426,0.0017362294872590445
3,QTHESTORMM,0.19159728433047252,0.0024842075707695033
3,teslacarsonly,0.17585096799031874,0.0017270813136964214
3,IloveTrumpMK,0.15643482910010198,0.00040917935662593274
3,LamarMK,0.15587366418131324,0.0003576123921643082
3,bored_manus,0.15009857787462833,0.000004484592930897868
3,JohnNolancq97,0.15009335666467838,0.000004178383930381058
3,9cc8bc5e21cf4b8,0.15007857713801662,0.000003877697541149194
3,cybertruck,0.15000000000000002,0
3,Tesla_AI,0.15000000000000002,0
3,RepLuna,0.15000000000000002,0
3,aelluswamy,0.15000000000000002,0
3,elonmusk,0.15000000000000002,0
3,tesla_na,0.15000000000000002,0
4,Tesla,0.16963843545073443,0.0002069339076901655
4,QTHESTORMM,0.1920239484348527,0.0004266641043801922
4,teslacarsonly,0.1761265391476187,0.0002755711572999531
4,IloveTrumpMK,0.1565002134341167,0.00006538433401470645
4,LamarMK,0.15593320703290936,0.000059542851596122714
4,bored_manus,0.15009928444535542,7.065707270936805e-7
4,JohnNolancq97,0.15009402595136526,6.692866868773795e-7
4,9cc8bc5e21cf4b8,0.15007920865644872,6.315184321037393e-7
4,cybertruck,0.15000000000000002,0
